,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
0,0.1,1,1,0.1,0.1,50,10601.591193157958
1,0.1,1,1,0.1,0.1,100,9524.40635581665
2,0.1,1,1,0.1,0.1,200,4381.726191956329
3,0.1,1,1,0.1,0.1,300,2869.3703031127925
4,0.1,1,1,0.1,0.1,400,2052.598113018799
5,0.1,1,1,0.1,0.1,500,890.5996675079344
6,0.1,1,1,0.1,0.1,600,2223.7683752990724
7,0.1,1,1,0.1,0.1,700,3604.6191481567384
8,0.1,1,1,0.1,0.1,800,4797.396606347657
9,0.1,1,1,0.1,0.1,900,6680.821243188476
10,0.1,1,1,0.1,0.1,1000,6682.539817712402
11,0.1,1,1,0.1,0.2,50,10601.591193157958
12,0.1,1,1,0.1,0.2,100,9524.40635581665
13,0.1,1,1,0.1,0.2,200,4381.726191956329
14,0.1,1,1,0.1,0.2,300,2869.3703031127925
15,0.1,1,1,0.1,0.2,400,2052.598113018799
16,0.1,1,1,0.1,0.2,500,890.5996675079344
17,0.1,1,1,0.1,0.2,600,2223.7683752990724
18,0.1,1,1,0.1,0.2,700,3604.6191481567384
19,0.1,1,1,0.1,0.2,800,4797.396606347657
20,0.1,1,1,0.1,0.2,900,6680.821243188476
21,0.1,1,1,0.1,0.2,1000,6682.539817712402
22,0.1,1,1,0.1,0.3,50,10601.591193157958
23,0.1,1,1,0.1,0.3,100,9524.40635581665
24,0.1,1,1,0.1,0.3,200,4381.726191956329
25,0.1,1,1,0.1,0.3,300,2869.3703031127925
26,0.1,1,1,0.1,0.3,400,2052.598113018799
27,0.1,1,1,0.1,0.3,500,890.5996675079344
28,0.1,1,1,0.1,0.3,600,2223.7683752990724
29,0.1,1,1,0.1,0.3,700,3604.6191481567384
30,0.1,1,1,0.1,0.3,800,4797.396606347657
31,0.1,1,1,0.1,0.3,900,6680.821243188476
32,0.1,1,1,0.1,0.3,1000,6682.539817712402
33,0.1,1,1,0.1,0.4,50,10601.591193157958
34,0.1,1,1,0.1,0.4,100,9524.40635581665
35,0.1,1,1,0.1,0.4,200,4381.726191956329
36,0.1,1,1,0.1,0.4,300,2869.3703031127925
37,0.1,1,1,0.1,0.4,400,2052.598113018799
38,0.1,1,1,0.1,0.4,500,890.5996675079344
39,0.1,1,1,0.1,0.4,600,2223.7683752990724
40,0.1,1,1,0.1,0.4,700,3604.6191481567384
41,0.1,1,1,0.1,0.4,800,4797.396606347657
42,0.1,1,1,0.1,0.4,900,6680.821243188476
43,0.1,1,1,0.1,0.4,1000,6682.539817712402
44,0.1,1,1,0.1,0.5,50,8774.93431373291
45,0.1,1,1,0.1,0.5,100,7707.923171002197
46,0.1,1,1,0.1,0.5,200,2359.0440568511963
