,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
0,0.1,1,1,0.1,0.4,500,16.414604672366725
1,0.1,1,1,0.1,0.4,600,15.420925580564443
2,0.1,1,1,0.1,0.4,700,15.31836945116061
3,0.1,1,1,0.1,0.4,800,15.150149093361794
4,0.1,1,1,0.1,0.4,900,14.701059936709736
5,0.1,1,1,0.1,0.4,1000,15.121465181294548
6,0.1,1,1,0.1,0.6,500,15.80294148367303
7,0.1,1,1,0.1,0.6,600,14.782048302515163
8,0.1,1,1,0.1,0.6,700,15.14329822224619
9,0.1,1,1,0.1,0.6,800,15.12079779538155
10,0.1,1,1,0.1,0.6,900,14.607914081334735
11,0.1,1,1,0.1,0.6,1000,14.63759333928223
12,0.1,1,1,0.1,0.8,500,15.825281239237173
13,0.1,1,1,0.1,0.8,600,15.311081586945464
14,0.1,1,1,0.1,0.8,700,15.108853068734652
15,0.1,1,1,0.1,0.8,800,15.056605492732846
16,0.1,1,1,0.1,0.8,900,14.335706745060175
17,0.1,1,1,0.1,0.8,1000,14.444726383553476
18,0.1,1,1,0.2,0.4,500,15.918640124843401
19,0.1,1,1,0.2,0.4,600,15.475825202705385
20,0.1,1,1,0.2,0.4,700,15.466341006446408
21,0.1,1,1,0.2,0.4,800,15.212210745387246
22,0.1,1,1,0.2,0.4,900,14.978953941171476
23,0.1,1,1,0.2,0.4,1000,15.342817804338148
24,0.1,1,1,0.2,0.6,500,16.626705241322057
25,0.1,1,1,0.2,0.6,600,15.546758072267268
26,0.1,1,1,0.2,0.6,700,15.856836682816867
27,0.1,1,1,0.2,0.6,800,15.550419496603421
28,0.1,1,1,0.2,0.6,900,15.311575779547441
29,0.1,1,1,0.2,0.6,1000,15.329586534663195
30,0.1,1,1,0.2,0.8,500,15.908203341601551
31,0.1,1,1,0.2,0.8,600,14.92256075781344
32,0.1,1,1,0.2,0.8,700,15.464065872155125
33,0.1,1,1,0.2,0.8,800,15.183096399665695
34,0.1,1,1,0.2,0.8,900,14.933750603593065
35,0.1,1,1,0.2,0.8,1000,15.035901062970469
36,0.1,1,1,0.5,0.4,500,15.423047215471794
37,0.1,1,1,0.5,0.4,600,14.873318291257867
38,0.1,1,1,0.5,0.4,700,14.908958884784102
39,0.1,1,1,0.5,0.4,800,14.857087923540373
40,0.1,1,1,0.5,0.4,900,15.00864927960503
41,0.1,1,1,0.5,0.4,1000,15.276233705558338
42,0.1,1,1,0.5,0.6,500,15.508272823631533
43,0.1,1,1,0.5,0.6,600,15.219762700294172
44,0.1,1,1,0.5,0.6,700,14.718750314229414
45,0.1,1,1,0.5,0.6,800,14.822770009189448
46,0.1,1,1,0.5,0.6,900,14.901178197295806
47,0.1,1,1,0.5,0.6,1000,15.222924802588832
48,0.1,1,1,0.5,0.8,500,15.129594296850794
49,0.1,1,1,0.5,0.8,600,15.154381286081703
50,0.1,1,1,0.5,0.8,700,15.044432149109824
51,0.1,1,1,0.5,0.8,800,14.875944016430704
52,0.1,1,1,0.5,0.8,900,14.917752735047934
53,0.1,1,1,0.5,0.8,1000,15.177627748267414
54,0.1,1,1,0.6,0.4,500,15.465030243101001
55,0.1,1,1,0.6,0.4,600,15.149717464910726
56,0.1,1,1,0.6,0.4,700,14.771756802277823
57,0.1,1,1,0.6,0.4,800,14.834380133355829
58,0.1,1,1,0.6,0.4,900,15.095521717994561
59,0.1,1,1,0.6,0.4,1000,15.212133095069072
60,0.1,1,1,0.6,0.6,500,15.290833299877004
61,0.1,1,1,0.6,0.6,600,15.222584987721154
62,0.1,1,1,0.6,0.6,700,14.35175078238355
63,0.1,1,1,0.6,0.6,800,14.768147677488527
64,0.1,1,1,0.6,0.6,900,15.055808269871406
65,0.1,1,1,0.6,0.6,1000,15.044192708437135
66,0.1,1,1,0.6,0.8,500,15.107985085597592
67,0.1,1,1,0.6,0.8,600,15.06305934802825
68,0.1,1,1,0.6,0.8,700,14.579906902006746
69,0.1,1,1,0.6,0.8,800,14.779433107645884
70,0.1,1,1,0.6,0.8,900,15.016469170679038
71,0.1,1,1,0.6,0.8,1000,14.985341330368012
72,0.1,1,2,0.1,0.4,500,29.893016848196858
73,0.1,1,2,0.1,0.4,600,28.568237515233104
74,0.1,1,2,0.1,0.4,700,30.670794989507716
75,0.1,1,2,0.1,0.4,800,29.55709062802078
76,0.1,1,2,0.1,0.4,900,28.08572089091476
77,0.1,1,2,0.1,0.4,1000,27.974541074370173
78,0.1,1,2,0.1,0.6,500,27.23594246269728
79,0.1,1,2,0.1,0.6,600,26.306038891178044
80,0.1,1,2,0.1,0.6,700,26.76512436205131
81,0.1,1,2,0.1,0.6,800,26.048188245528383
82,0.1,1,2,0.1,0.6,900,24.063150275316637
83,0.1,1,2,0.1,0.6,1000,23.665533783147243
84,0.1,1,2,0.1,0.8,500,29.162115262800466
85,0.1,1,2,0.1,0.8,600,27.251464934760865
86,0.1,1,2,0.1,0.8,700,26.07795231651188
87,0.1,1,2,0.1,0.8,800,24.979209977440973
88,0.1,1,2,0.1,0.8,900,23.036981438451605
89,0.1,1,2,0.1,0.8,1000,22.46421216191145
90,0.1,1,2,0.2,0.4,500,21.656726984630534
91,0.1,1,2,0.2,0.4,600,20.104556956233157
92,0.1,1,2,0.2,0.4,700,19.902364732540956
93,0.1,1,2,0.2,0.4,800,18.877997035690907
94,0.1,1,2,0.2,0.4,900,18.057834013099136
95,0.1,1,2,0.2,0.4,1000,17.697060169307
96,0.1,1,2,0.2,0.6,500,18.764132582081828
97,0.1,1,2,0.2,0.6,600,17.23985928040653
98,0.1,1,2,0.2,0.6,700,16.502824816422446
99,0.1,1,2,0.2,0.6,800,15.360249138070255
100,0.1,1,2,0.2,0.6,900,15.224421535604554
101,0.1,1,2,0.2,0.6,1000,14.810599004502308
102,0.1,1,2,0.2,0.8,500,17.59088660569052
103,0.1,1,2,0.2,0.8,600,15.943357446160606
104,0.1,1,2,0.2,0.8,700,15.352456579611228
105,0.1,1,2,0.2,0.8,800,14.619371150552512
106,0.1,1,2,0.2,0.8,900,14.383702455237545
107,0.1,1,2,0.2,0.8,1000,14.439675184040665
108,0.1,1,2,0.5,0.4,500,15.194887848918166
109,0.1,1,2,0.5,0.4,600,14.889475245496886
110,0.1,1,2,0.5,0.4,700,14.738313712737536
111,0.1,1,2,0.5,0.4,800,14.995868699879395
112,0.1,1,2,0.5,0.4,900,14.75335130353238
113,0.1,1,2,0.5,0.4,1000,14.950710827608212
114,0.1,1,2,0.5,0.6,500,15.01576958828368
115,0.1,1,2,0.5,0.6,600,14.851265998419626
116,0.1,1,2,0.5,0.6,700,14.654487306504581
117,0.1,1,2,0.5,0.6,800,14.710533315916464
118,0.1,1,2,0.5,0.6,900,14.589269924473308
119,0.1,1,2,0.5,0.6,1000,14.951204116208402
120,0.1,1,2,0.5,0.8,500,14.870793038618253
121,0.1,1,2,0.5,0.8,600,14.719074535264564
122,0.1,1,2,0.5,0.8,700,14.680635853525072
123,0.1,1,2,0.5,0.8,800,14.834650942897971
124,0.1,1,2,0.5,0.8,900,14.672518929118887
125,0.1,1,2,0.5,0.8,1000,14.974491855760107
126,0.1,1,2,0.6,0.4,500,15.296971162759773
127,0.1,1,2,0.6,0.4,600,15.178706595518328
128,0.1,1,2,0.6,0.4,700,14.728102313008662
129,0.1,1,2,0.6,0.4,800,14.98951105517878
130,0.1,1,2,0.6,0.4,900,14.727205375748714
131,0.1,1,2,0.6,0.4,1000,14.71159717522943
132,0.1,1,2,0.6,0.6,500,15.134408782753116
133,0.1,1,2,0.6,0.6,600,14.972050242035833
134,0.1,1,2,0.6,0.6,700,14.58509274073793
135,0.1,1,2,0.6,0.6,800,14.83608503744513
136,0.1,1,2,0.6,0.6,900,14.524263397795563
137,0.1,1,2,0.6,0.6,1000,14.740606793886402
138,0.1,1,2,0.6,0.8,500,15.047259538322505
139,0.1,1,2,0.6,0.8,600,14.810547042800675
140,0.1,1,2,0.6,0.8,700,14.607970170569955
141,0.1,1,2,0.6,0.8,800,14.818816687949216
142,0.1,1,2,0.6,0.8,900,14.664668888667196
143,0.1,1,2,0.6,0.8,1000,14.868103059145128
144,0.1,1,3,0.1,0.4,500,34.13829500466377
145,0.1,1,3,0.1,0.4,600,32.07420490074684
146,0.1,1,3,0.1,0.4,700,35.47960437823191
147,0.1,1,3,0.1,0.4,800,34.546423453567535
148,0.1,1,3,0.1,0.4,900,32.145090974487566
149,0.1,1,3,0.1,0.4,1000,32.609755295239495
150,0.1,1,3,0.1,0.6,500,33.70608222855931
151,0.1,1,3,0.1,0.6,600,31.82263274446464
152,0.1,1,3,0.1,0.6,700,34.74112596476653
153,0.1,1,3,0.1,0.6,800,34.08253092320637
154,0.1,1,3,0.1,0.6,900,31.846603238237243
155,0.1,1,3,0.1,0.6,1000,32.36666346909066
156,0.1,1,3,0.1,0.8,500,33.29799930923503
157,0.1,1,3,0.1,0.8,600,31.530493148915383
158,0.1,1,3,0.1,0.8,700,34.32356855089993
159,0.1,1,3,0.1,0.8,800,33.62699122572503
160,0.1,1,3,0.1,0.8,900,31.675373784997273
161,0.1,1,3,0.1,0.8,1000,32.082520187772054
162,0.1,1,3,0.2,0.4,500,32.2687518915397
163,0.1,1,3,0.2,0.4,600,31.799821511178237
164,0.1,1,3,0.2,0.4,700,32.61842352021797
165,0.1,1,3,0.2,0.4,800,31.626456129967035
166,0.1,1,3,0.2,0.4,900,31.461016924361868
167,0.1,1,3,0.2,0.4,1000,31.411510387902243
168,0.1,1,3,0.2,0.6,500,30.997039503918984
169,0.1,1,3,0.2,0.6,600,31.473622572708052
170,0.1,1,3,0.2,0.6,700,32.14800836287199
171,0.1,1,3,0.2,0.6,800,31.295750379213793
172,0.1,1,3,0.2,0.6,900,30.869821904495243
