,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
314,0.1,4,1,0.6,0.8,1000,15.247665264059671
313,0.1,4,1,0.6,0.8,900,15.266725146746406
312,0.1,4,1,0.6,0.8,700,15.388311383736324
311,0.1,4,1,0.6,0.8,600,15.49859960846414
719,0.2,4,1,0.6,0.8,1000,15.624401047671318
718,0.2,4,1,0.6,0.8,900,15.625881407382028
717,0.2,4,1,0.6,0.8,700,15.638311006869761
310,0.1,4,1,0.6,0.8,500,15.640275543551189
716,0.2,4,1,0.6,0.8,600,15.656276947264182
715,0.2,4,1,0.6,0.8,500,15.679858777842318
1124,0.3,4,1,0.6,0.8,1000,15.813389066589325
1123,0.3,4,1,0.6,0.8,900,15.81345436070627
1122,0.3,4,1,0.6,0.8,700,15.81400221740689
1121,0.3,4,1,0.6,0.8,600,15.816016416584876
1120,0.3,4,1,0.6,0.8,500,15.82108837785998
1109,0.3,4,1,0.5,0.8,1000,16.065995513187502
1108,0.3,4,1,0.5,0.8,900,16.066080543095033
1107,0.3,4,1,0.5,0.8,700,16.069254535659528
1106,0.3,4,1,0.5,0.8,600,16.075564323946974
1105,0.3,4,1,0.5,0.8,500,16.082905986608097
989,0.3,2,1,0.6,0.8,1000,16.49105228470295
988,0.3,2,1,0.6,0.8,900,16.505937778136865
704,0.2,4,1,0.5,0.8,1000,16.588223901917733
299,0.1,4,1,0.5,0.8,1000,16.588672712648876
703,0.2,4,1,0.5,0.8,900,16.59065527972816
298,0.1,4,1,0.5,0.8,900,16.60007675097321
702,0.2,4,1,0.5,0.8,700,16.612604764549804
987,0.3,2,1,0.6,0.8,700,16.642096346716436
701,0.2,4,1,0.5,0.8,600,16.648820768853533
700,0.2,4,1,0.5,0.8,500,16.693604261104753
297,0.1,4,1,0.5,0.8,700,16.69509277542848
986,0.3,2,1,0.6,0.8,600,16.74072232337708
985,0.3,2,1,0.6,0.8,500,16.79527860273339
296,0.1,4,1,0.5,0.8,600,16.797820947052305
295,0.1,4,1,0.5,0.8,500,16.928588791568924
1169,0.3,4,2,0.6,0.8,1000,17.026087344938514
1167,0.3,4,2,0.6,0.8,700,17.03975856955354
1168,0.3,4,2,0.6,0.8,900,17.070040171560475
1166,0.3,4,2,0.6,0.8,600,17.14090047578505
358,0.1,4,2,0.6,0.8,900,17.178625888852014
357,0.1,4,2,0.6,0.8,700,17.235141716957166
762,0.2,4,2,0.6,0.8,700,17.25189992387393
1165,0.3,4,2,0.6,0.8,500,17.323386192567177
763,0.2,4,2,0.6,0.8,900,17.334418319185
356,0.1,4,2,0.6,0.8,600,17.34222223180567
761,0.2,4,2,0.6,0.8,600,17.349664193210568
359,0.1,4,2,0.6,0.8,1000,17.353820506819208
355,0.1,4,2,0.6,0.8,500,17.3625056497017
583,0.2,2,1,0.6,0.8,900,17.376946017843903
178,0.1,2,1,0.6,0.8,900,17.390430538863264
764,0.2,4,2,0.6,0.8,1000,17.393965821664505
974,0.3,2,1,0.5,0.8,1000,17.414348588749153
973,0.3,2,1,0.5,0.8,900,17.42205941820815
584,0.2,2,1,0.6,0.8,1000,17.43362004383531
760,0.2,4,2,0.6,0.8,500,17.437881876721228
983,0.3,2,1,0.6,0.6,900,17.458506028690564
972,0.3,2,1,0.5,0.8,700,17.468693052760838
179,0.1,2,1,0.6,0.8,1000,17.48516198979851
582,0.2,2,1,0.6,0.8,700,17.50617201120556
984,0.3,2,1,0.6,0.6,1000,17.53217421030611
177,0.1,2,1,0.6,0.8,700,17.535046085216415
581,0.2,2,1,0.6,0.8,600,17.57864553414442
971,0.3,2,1,0.5,0.8,600,17.60661786024845
223,0.1,2,2,0.6,0.8,900,17.619739925657576
982,0.3,2,1,0.6,0.6,700,17.63767676554188
580,0.2,2,1,0.6,0.8,500,17.639735915543838
625,0.2,2,2,0.6,0.8,500,17.640721316862617
176,0.1,2,1,0.6,0.8,600,17.650086185213354
220,0.1,2,2,0.6,0.8,500,17.651008636630195
970,0.3,2,1,0.5,0.8,500,17.67983778080284
626,0.2,2,2,0.6,0.8,600,17.69568272059975
627,0.2,2,2,0.6,0.8,700,17.727498637495874
175,0.1,2,1,0.6,0.8,500,17.742485022472785
1088,0.3,4,1,0.1,0.6,900,17.75750073312827
221,0.1,2,2,0.6,0.8,600,17.76279015424136
567,0.2,2,1,0.5,0.8,700,17.79965502624748
958,0.3,2,1,0.1,0.8,900,17.80571119575538
568,0.2,2,1,0.5,0.8,900,17.83665037126248
1152,0.3,4,2,0.5,0.8,700,17.85202833327879
981,0.3,2,1,0.6,0.6,600,17.85301249973832
628,0.2,2,2,0.6,0.8,900,17.8538280123613
222,0.1,2,2,0.6,0.8,700,17.873344164950677
224,0.1,2,2,0.6,0.8,1000,17.88284389820569
569,0.2,2,1,0.5,0.8,1000,17.888359317784428
566,0.2,2,1,0.5,0.8,600,17.89940799409809
1154,0.3,4,2,0.5,0.8,1000,17.927373458916414
980,0.3,2,1,0.6,0.6,500,17.936200298086057
342,0.1,4,2,0.5,0.8,700,17.937135421291625
565,0.2,2,1,0.5,0.8,500,17.97375633646273
1151,0.3,4,2,0.5,0.8,600,18.00117772480582
163,0.1,2,1,0.5,0.8,900,18.004472336129307
341,0.1,4,2,0.5,0.8,600,18.005395308499153
343,0.1,4,2,0.5,0.8,900,18.033651733362657
629,0.2,2,2,0.6,0.8,1000,18.036727343526923
161,0.1,2,1,0.5,0.8,600,18.03847101320102
164,0.1,2,1,0.5,0.8,1000,18.064785788086336
162,0.1,2,1,0.5,0.8,700,18.071674005826626
1031,0.3,2,2,0.6,0.8,600,18.07203620820448
344,0.1,4,2,0.5,0.8,1000,18.09671710042291
747,0.2,4,2,0.5,0.8,700,18.104662759998543
207,0.1,2,2,0.5,0.8,700,18.11906022043824
1153,0.3,4,2,0.5,0.8,900,18.127610122826653
953,0.3,2,1,0.1,0.6,900,18.1312527277403
578,0.2,2,1,0.6,0.6,900,18.14140574512136
959,0.3,2,1,0.1,0.8,1000,18.160504459860682
206,0.1,2,2,0.5,0.8,600,18.167981720310692
340,0.1,4,2,0.5,0.8,500,18.171391730617955
160,0.1,2,1,0.5,0.8,500,18.180000551259354
1030,0.3,2,2,0.6,0.8,500,18.194478418566085
208,0.1,2,2,0.5,0.8,900,18.19530081154252
1032,0.3,2,2,0.6,0.8,700,18.21475050639997
205,0.1,2,2,0.5,0.8,500,18.261429102015914
579,0.2,2,1,0.6,0.6,1000,18.26233534702156
1150,0.3,4,2,0.5,0.8,500,18.336064107654632
576,0.2,2,1,0.6,0.6,600,18.341480882737283
746,0.2,4,2,0.5,0.8,600,18.342178316648425
577,0.2,2,1,0.6,0.6,700,18.348561483810936
749,0.2,4,2,0.5,0.8,1000,18.349544111338794
1033,0.3,2,2,0.6,0.8,900,18.377556987860203
1093,0.3,4,1,0.1,0.8,900,18.434515995704256
1017,0.3,2,2,0.5,0.8,700,18.467313984976343
683,0.2,4,1,0.1,0.6,900,18.471286291161807
1016,0.3,2,2,0.5,0.8,600,18.484890668707248
553,0.2,2,1,0.1,0.8,900,18.486495488014047
748,0.2,4,2,0.5,0.8,900,18.505753844738773
308,0.1,4,1,0.6,0.6,900,18.511492834380476
548,0.2,2,1,0.1,0.6,900,18.520419413745195
688,0.2,4,1,0.1,0.8,900,18.54029851406045
209,0.1,2,2,0.5,0.8,1000,18.54549830186167
575,0.2,2,1,0.6,0.6,500,18.56997921071044
1034,0.3,2,2,0.6,0.8,1000,18.573651309381706
309,0.1,4,1,0.6,0.6,1000,18.579205073385417
745,0.2,4,2,0.5,0.8,500,18.58272245799105
1015,0.3,2,2,0.5,0.8,500,18.60382574637019
1025,0.3,2,2,0.6,0.6,500,18.62386202299184
611,0.2,2,2,0.5,0.8,600,18.63920144527923
1027,0.3,2,2,0.6,0.6,700,18.643344091789338
306,0.1,4,1,0.6,0.6,600,18.65483015139975
610,0.2,2,2,0.5,0.8,500,18.673884267148754
612,0.2,2,2,0.5,0.8,700,18.686970851413665
1162,0.3,4,2,0.6,0.6,700,18.68999026701022
307,0.1,4,1,0.6,0.6,700,18.73724491960674
1163,0.3,4,2,0.6,0.6,900,18.749205199221826
1026,0.3,2,2,0.6,0.6,600,18.782809328339745
1161,0.3,4,2,0.6,0.6,600,18.783387201518384
173,0.1,2,1,0.6,0.6,900,18.799281408550687
278,0.1,4,1,0.1,0.6,900,18.799438820111277
171,0.1,2,1,0.6,0.6,600,18.812684026184556
880,0.3,1,2,0.5,0.8,500,18.830322925417413
478,0.2,1,2,0.5,0.8,900,18.83818884953394
143,0.1,2,1,0.1,0.6,900,18.84383980186456
293,0.1,4,1,0.5,0.6,900,18.853257264674447
1160,0.3,4,2,0.6,0.6,500,18.856644453313226
305,0.1,4,1,0.6,0.6,500,18.856731624838954
818,0.3,1,1,0.1,0.6,900,18.857436371784253
73,0.1,1,2,0.5,0.8,900,18.86239800263881
294,0.1,4,1,0.5,0.6,1000,18.8647461415537
1019,0.3,2,2,0.5,0.8,1000,18.869402986345722
620,0.2,2,2,0.6,0.6,500,18.887002697763467
1164,0.3,4,2,0.6,0.6,1000,18.888457356096826
1028,0.3,2,2,0.6,0.6,900,18.891163353473694
883,0.3,1,2,0.5,0.8,900,18.895147602047338
895,0.3,1,2,0.6,0.8,500,18.90230647691011
203,0.1,2,2,0.5,0.6,900,18.929664925036395
174,0.1,2,1,0.6,0.6,1000,18.94324990659255
448,0.2,1,1,0.6,0.8,900,18.94702632884805
875,0.3,1,2,0.5,0.6,500,18.947530859975135
1018,0.3,2,2,0.5,0.8,900,18.95241391229422
1094,0.3,4,1,0.1,0.8,1000,18.963737041483924
1089,0.3,4,1,0.1,0.6,1000,18.971201942412257
218,0.1,2,2,0.6,0.6,900,18.979569111752074
613,0.2,2,2,0.5,0.8,900,18.98416239161368
554,0.2,2,1,0.1,0.8,1000,18.986072494077487
283,0.1,4,1,0.1,0.8,900,18.998023475873154
201,0.1,2,2,0.5,0.6,600,18.999809191427403
493,0.2,1,2,0.6,0.8,900,19.01027696056071
88,0.1,1,2,0.6,0.8,900,19.010920457334134
338,0.1,4,2,0.5,0.6,900,19.01249680784438
353,0.1,4,2,0.6,0.6,900,19.017052733106468
606,0.2,2,2,0.5,0.6,600,19.029227668739914
698,0.2,4,1,0.5,0.6,900,19.03124880248124
622,0.2,2,2,0.6,0.6,700,19.034701596907585
215,0.1,2,2,0.6,0.6,500,19.038106402632557
898,0.3,1,2,0.6,0.8,900,19.03981481777533
621,0.2,2,2,0.6,0.6,600,19.04541894876731
623,0.2,2,2,0.6,0.6,900,19.04692041196221
291,0.1,4,1,0.5,0.6,600,19.049456610292143
1148,0.3,4,2,0.5,0.6,900,19.054275540791537
614,0.2,2,2,0.5,0.8,1000,19.064885926887673
200,0.1,2,2,0.5,0.6,500,19.066034475376487
853,0.3,1,1,0.6,0.8,900,19.068934044681225
1118,0.3,4,1,0.6,0.6,900,19.070194423350745
1119,0.3,4,1,0.6,0.6,1000,19.07098738590822
292,0.1,4,1,0.5,0.6,700,19.088795077913332
170,0.1,2,1,0.6,0.6,500,19.09252575592254
699,0.2,4,1,0.5,0.6,1000,19.101746520440912
172,0.1,2,1,0.6,0.6,700,19.10250260794759
43,0.1,1,1,0.6,0.8,900,19.10378667330224
336,0.1,4,2,0.5,0.6,600,19.11633742323363
1117,0.3,4,1,0.6,0.6,700,19.12684382157521
697,0.2,4,1,0.5,0.6,700,19.129865877923752
605,0.2,2,2,0.5,0.6,500,19.13122971426639
290,0.1,4,1,0.5,0.6,500,19.1390457260167
148,0.1,2,1,0.1,0.8,900,19.1430124388545
158,0.1,2,1,0.5,0.6,900,19.143344247828814
840,0.3,1,1,0.6,0.4,500,19.146755957407965
758,0.2,4,2,0.6,0.6,900,19.147802018921272
490,0.2,1,2,0.6,0.8,500,19.14955556732273
159,0.1,2,1,0.5,0.6,1000,19.163336042195464
608,0.2,2,2,0.5,0.6,900,19.16798408136478
350,0.1,4,2,0.6,0.6,500,19.17317721651725
351,0.1,4,2,0.6,0.6,600,19.17695135797282
279,0.1,4,1,0.1,0.6,1000,19.178768055029792
1010,0.3,2,2,0.5,0.6,500,19.183660201282326
1116,0.3,4,1,0.6,0.6,600,19.184257514339446
156,0.1,2,1,0.5,0.6,600,19.185486529948548
1147,0.3,4,2,0.5,0.6,700,19.18635745492382
954,0.3,2,1,0.1,0.6,1000,19.18965641640781
216,0.1,2,2,0.6,0.6,600,19.196623796424163
202,0.1,2,2,0.5,0.6,700,19.196629913974924
755,0.2,4,2,0.6,0.6,500,19.208388426185003
