Params,Avg_MAPE
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",80.42719868634734
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",80.42754575265178
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",80.42763246185251
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",80.42808366632252
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",86.81722922415396
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",86.81722923766813
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",86.81723142732513
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",86.81727803778163
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",99.09929036660168
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",99.32150204887839
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",100.99485912240375
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",100.99499254171923
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",100.99503344716533
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",100.99513184514188
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",101.62548798273552
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",102.21460234792156
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 1.0}",112.74333900019593
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",114.05805557509572
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",114.59888115747223
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",115.0150720223662
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",115.81518454139842
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",116.56598338733531
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 1.0}",120.38058092268854
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 0.8}",122.5041701949615
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",125.10654345366027
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",126.37080321002514
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",126.4346880389697
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",127.27284097360487
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",127.57052095570336
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.25615946627917
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.2563007909863
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.25650911403932
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.25730233419768
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.7699475847084
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",131.770036711991
