Params,Avg_MAPE
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.050361069301214
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.063904820755308
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.065572947851326
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.106332333708803
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.30459063047044
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.37493250936067
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.406170054436824
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.430072070814486
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.457536229854686
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.467001548777823
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.564687180564793
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.634195511247686
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.663295094306672
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.671121073639192
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.672516012877338
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.678712112574846
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.703114829094943
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.720114335041984
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.72156062646553
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.728039811690675
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.732216874529644
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.74079871978347
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.74165495687718
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",17.785459205479274
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.807591700656715
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.822083050792866
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.884551630355126
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",17.9015628091221
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 1.0}",17.90331687590109
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.931868846426617
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.937501545804263
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",17.950704207720573
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.012074253253196
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.012154240915812
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.03316490651657
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.039849178702145
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.041082067454703
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.084293904344953
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.145673330968027
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.15248267934408
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.209991380763242
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.225617367690347
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",18.234227613942387
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.2453805772896
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.247556892859432
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.279577352469726
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.308194860069097
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.322173845939112
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.33740391248222
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.375937751355384
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.390702810228454
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",18.4119625018866
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.419846303373777
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.420822322126664
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.495956257361726
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",18.544677287582296
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}",18.58372701864688
"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.58546884847406
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",18.587749296786225
"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.607062290684123
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 0.8}",18.62211250948949
"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",18.693022334599682
