Params,Avg_MAPE
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",2119.131259878664
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",2344.432475175039
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",2389.431314853764
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",2487.3913422426876
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",2513.495406534469
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",2610.8295360512316
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",2628.2225967901536
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",2861.1171289012627
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",2867.717849946673
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",2969.5225202242677
"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3012.310569218249
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",3034.8004424778774
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}",3099.5040249510544
"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",3153.0430219819073
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3286.170775171889
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3331.027551278804
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3361.907347112102
"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3441.217123239433
"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3448.8929571071717
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",3584.603182014849
"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.3, 'subsample': 1.0, 'colsample_bytree': 1.0}",3687.8164293197065
"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",3743.9761741273755
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1.0}",3791.729546863674
"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}",3807.627722940889
"{'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",3809.4363918974727
"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.3, 'subsample': 0.8, 'colsample_bytree': 1.0}",3834.6229880763062
